Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,BZX84-C6V2,,,D1,,,1915,,,
2,1,BZX84-C2V7,,,D2,,,1918,,,
3,1,CON2,,,J1,,,1789,,,
4,1,CON2,,,J2,,,1815,,,
5,1,MLED81,,,LED1,,,1923,,,
6,1,MLED81,,,LED2,,,1926,,,
7,1,5k,,,P1,,,1742,,,
8,1,5k,,,P2,,,1756,,,
9,1,QBC856B,,,Q1,,,1644,,,
10,1,QBC856B,,,Q2,,,1729,,,
11,1,QBC856B,,,Q3,,,1749,,,
12,1,QBC856B,,,Q4,,,1667,,,
13,1,QBC846B,,,Q5,,,1707,,,
14,1,QBC846B,,,Q6,,,1691,,,
15,1,QBC846B,,,Q7,,,1648,,,
16,1,QMJD31C,,,Q8,,,1903,,,
17,1,QBC846B,,,Q9,,,1671,,,
18,1,1k,,,R1,,,1685,,,
19,1,1k,,,R2,,,1720,,,
20,1,1k,,,R3,,,1652,,,
21,1,510,,,R4,,,1717,,,
22,1,330,,,R5,,,1733,,,
23,1,470,,,R6,,,1753,,,
24,1,1k,,,R7,,,1723,,,
25,1,1k,,,R8,,,1736,,,
26,1,1k,,,R9,,,1682,,,
27,1,1.5k,,,R10,,,1711,,,
28,1,2.7K,,,R11,,,1772,,,
29,1,1.5k,,,R12,,,1763,,,
30,1,4.7k,,,R13,,,1688,,,
31,1,220,,,R14,,,1695,,,
32,1,1k,,,R15,,,1661,,,
33,1,10K,,,R16,,,1704,,,
34,1,10K,,,R17,,,1760,,,
35,1,0.47,,,R18,,,1701,,,
36,1,680,,,R19,,,1726,,,
37,1,0.47,,,R20,,,1746,,,
38,1,5.6k,,,R21,,,1769,,,
39,1,3.9k,,,R22,,,1779,,,
40,1,3.9k,,,R23,,,1782,,,
41,1,3.9k,,,R24,,,1766,,,
42,1,0.47,,,R25,,,1655,,,
43,1,3.9k,,,R26,,,1785,,,
44,1,3.9k,,,R27,,,1802,,,
45,1,820,,,R28,,,1679,,,
46,1,820,,,R29,,,1698,,,
